id,output
0,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (TOPPING spinach ) (TOPPING tomatoes ) ) )
1,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (COMPLEX_TOPPING (QUANTITY exta ) (TOPPING roasted red peppers ) ) (COMPLEX_TOPPING (QUANTITY more ) (TOPPING cheese ) ) ) )
2,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE large ) ) (PIZZAORDER (STYLE new york style ) (TOPPING tomato sauce ) (TOPPING absolutely ) ) )
3,(ORDER (PIZZAORDER (NUMBER 5 ) (STYLE lnch ) (TOPPING garlic onions ) (TOPPING pesto ) ) )
4,(ORDER (PIZZAORDER (NUMBER a ) (STYLE pan ) (TOPPING pesto ) (TOPPING ham ) ) )
5,(ORDER (PIZZAORDER (SIZE large size ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING gilled chicken ) ) (COMPLEX_TOPPING (QUANTITY tiny bit of ) (TOPPING cheese ) ) (TOPPING ham ) ) )
6,(ORDER (PIZZAORDER (NUMBER a ) (SIZE med ) (TOPPING peto sauce ) (TOPPING ham ) ) (DRINKORDER ) (DRINKORDER (VOLUME large ) ) (DRINKORDER (DRINKTYPE iced ) ) (DRINKORDER (DRINKTYPE tea ) ) (DRINKORDER (CONTAINERTYPE bottle ) ) )
7,(ORDER (DRINKORDER (NUMBER three ) ) (DRINKORDER (CONTAINERTYPE can ) ) (DRINKORDER (DRINKTYPE juice ) ) )
8,(ORDER (PIZZAORDER (NUMBER a ) ) (PIZZAORDER (STYLE of ) (STYLE med ) (TOPPING shrimp ) ) )
9,(ORDER (PIZZAORDER (NUMBER eleven ) (STYLE f ) (COMPLEX_TOPPING (QUANTITY a lot ) (TOPPING meatbll ) ) (TOPPING green peppers ) ) )
10,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER five ) ) )
11,(ORDER (PIZZAORDER (STYLE meium ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING black ) ) (TOPPING olves ) (TOPPING olives ) ) )
12,(ORDER (PIZZAORDER ) (PIZZAORDER ) (PIZZAORDER (NUMBER of ) (SIZE lunch ) (TOPPING ham ) ) )
13,(ORDER (PIZZAORDER ) (PIZZAORDER ) (PIZZAORDER (NUMBER jalapenos ) (SIZE extra large ) (TOPPING jalepeno peppers ) ) )
14,(ORDER (PIZZAORDER (SIZE thrteen ) (TOPPING green olives ) ) )
15,(ORDER (PIZZAORDER (NUMBER four ) (SIZE lunch ) (TOPPING with ) (TOPPING ham ) (TOPPING olives ) ) )
16,(ORDER (PIZZAORDER (SIZE medium sized ) (STYLE pine apple ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING chicken ) ) (COMPLEX_TOPPING (QUANTITY little bit ) (TOPPING cheese ) ) ) )
17,(ORDER (PIZZAORDER (SIZE medium ) (TOPPING cheese ) (TOPPING olive ) ) )
18,(ORDER (PIZZAORDER (NUMBER a ) (STYLE xl ) (TOPPING sausage ) (TOPPING pickles ) ) )
19,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING capers ) (TOPPING bacon ) (TOPPING smal ) (TOPPING peppers ) ) )
20,(ORDER (DRINKORDER (NUMBER one ) (SIZE large ups ) ) )
21,(ORDER (PIZZAORDER ) (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE corn ) (TOPPING capers sweet ) (TOPPING tuna ) ) )
22,(ORDER (PIZZAORDER ) (PIZZAORDER (NUMBER a ) (STYLE lage ) (TOPPING lamb ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING hams ) ) ) )
23,(ORDER (PIZZAORDER (NUMBER 1 ) (TOPPING parmesan ) (TOPPING leeks toppings ) ) )
24,(ORDER (PIZZAORDER (NUMBER four ) (SIZE personal ) (TOPPING tomato ) (TOPPING pickles ) ) )
25,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING sausage ) ) )
